日期,臺南市,區別,里別,"調查種類","調查戶數","陽性戶數",調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,經度,緯度
2021/9/6,臺南市,北　區,北門里,住宅,50,2,0,13,13,0,2,2,4,1,15,5,120.2164659,23.0121178
2021/9/11,臺南市,北　區,北門里,住宅,80,1,0,11,11,0,1,1,1,1,9,3,120.2164659,23.0121178
2021/9/10,臺南市,北　區,北華里,住宅,120,6,1,23,24,1,5,6,5,2,25,6,120.2050943,23.0008957
2021/9/6,臺南市,北　區,正覺里,住宅,80,4,0,14,14,0,7,7,9,2,50,9,120.2116023,23.0151428
2021/9/9,臺南市,北　區,永祥里,住宅,80,1,0,1,1,0,1,1,1,1,100,9,120.2202587,23.0160134
2021/9/6,臺南市,北　區,立人里,學校,80,2,2,18,20,1,2,3,4,1,15,5,120.20171,23.00053
2021/9/6,臺南市,北　區,成功里,住宅,80,1,1,45,46,0,1,1,1,1,2,1,120.2094381,23.0202949
2021/9/10,臺南市,北　區,成德里,住宅,80,2,0,12,12,0,2,2,3,1,17,5,120.2036668,23.0134491
2021/9/9,臺南市,北　區,和順里,住宅,80,1,0,10,10,0,1,1,1,1,10,4,120.2015025,23.0051759
2021/9/9,臺南市,北　區,東興里,住宅,80,0,0,11,11,0,0,0,0,0,0,0,120.2260293,23.0013807
2021/9/9,臺南市,北　區,長興里,住宅,80,2,0,15,15,0,2,2,3,1,13,4,120.205964,23.0039478
2021/9/8,臺南市,北　區,振興里,住宅,50,0,0,3,3,0,0,0,0,0,0,0,120.2217014,23.0063146
2021/9/9,臺南市,北　區,振興里,住宅,81,2,1,15,16,0,2,2,2,1,13,4,120.2217014,23.0063146
2021/9/6,臺南市,北　區,華德里,住宅,80,2,0,10,10,0,2,2,3,1,20,5,120.20504,23.0216
2021/9/6,臺南市,北　區,開元里,學校,80,0,1,24,25,0,0,0,0,0,0,0,120.2217014,23.0130263
